Zona,Provincia/Pais,Localidad,Lectura_15_04_25_al_28_04_25,Lectura_29_04_25_al_16_05_25,Lectura_17_05_25_al_02_06_25
Centro Sur,Buenos Aires,Cura Malal,0,0,0
Centro Sur,Buenos Aires,Ferré,0,Sin datos,11
Centro Sur,Buenos Aires,Germania,0,0,0
Centro Sur,Buenos Aires,Gral. Arenales T1,0,0,0
Centro Sur,Buenos Aires,Gobernador Castro,0,1,5
Centro Sur,Buenos Aires,González Moreno,0,0,0
Centro Sur,Buenos Aires,Guaminí,0,0,0
Centro Sur,Buenos Aires,Leandro N. Alem,0,0,0
Centro Sur,Buenos Aires,Los Toldos,0,0,0
Centro Sur,Buenos Aires,Morse,0,1,0
Centro Sur,Buenos Aires,Pasman,0,0,0
Centro Sur,Buenos Aires,Pehuajó,0,0,0
Centro Sur,Buenos Aires,Pergamino,0,0,0
Centro Sur,Buenos Aires,Ramallo,4,0,1
Centro Sur,Buenos Aires,Roberts,0,0,0
Centro Sur,Buenos Aires,Tres Arroyos,0,0,0
Centro Sur,Buenos Aires,Villa Gral. Savio,0,1,2
Centro Sur,Buenos Aires,Inés Indart,Sin datos,0,0
Centro Sur,Buenos Aires,Pirovano,0,0,0
Centro Sur,Buenos Aires,Zavalía,0,0,0
Centro Sur,Buenos Aires,Pigüé,0,0,0
Centro Sur,Buenos Aires,25 de Mayo Salesiana,0,Sin datos,0
Centro Sur,Buenos Aires,Berraondo,0,Sin datos,0
Centro Sur,Buenos Aires,Carhue,0,0,0
Centro Sur,Buenos Aires,Casbas,0,0,0
Centro Sur,Buenos Aires,Chascomús,0,2,0
Centro Sur,Buenos Aires,La Niña,Sin datos,0,0
Centro Sur,Buenos Aires,Necochea,0,0,0
Centro Sur,Buenos Aires,Paraje Fra Pal,0,0,0
Centro Sur,Buenos Aires,Salto,0,0,0
Centro Sur,Buenos Aires,Trenque Lauquen,1,0,0
Centro Sur,Buenos Aires,Chillar,0,0,0
Centro Sur,Buenos Aires,Sur Bordenave,0,0,0
Centro Sur,Buenos Aires,Puan,0,0,0
Centro Sur,Buenos Aires,Viboras,0,0,0
Centro Sur,Buenos Aires,12 de Octubre,0,0,0
Centro Sur,Buenos Aires,Ferré,0,0,Trampa perdida
Centro Sur,Buenos Aires,Vedia,0,0,0
Centro Sur,Buenos Aires,San Miguel de Arcángel,0,0,0
Centro Sur,Buenos Aires,América,0,1,2
Centro Sur,Buenos Aires,Arenaza,0,Trampa perdida,0
Centro Sur,Buenos Aires,Carlos Tejedor,0,0,1
Centro Sur,Buenos Aires,Casey,0,0,0
Centro Sur,Buenos Aires,Daireaux,0,0,0
Centro Sur,Buenos Aires,General Villegas,1,3,4
Centro Sur,Buenos Aires,Guanaco,0,5,7
Centro Sur,Buenos Aires,Henderson,0,0,0
Centro Sur,Buenos Aires,Mari Lauque,0,1,2
Centro Sur,Buenos Aires,Moctezuma,0,1,1
Centro Sur,Buenos Aires,Treinta de Agosto,0,0,0
Centro Sur,Buenos Aires,Ayacucho,0,Sin datos,0
Centro Sur,Buenos Aires,Gral. Madariaga,0,Sin datos,0
Centro Sur,Buenos Aires,Orense,0,0,0
Centro Sur,Buenos Aires,Bragado,0,0,0
Centro Sur,Buenos Aires,San Andrés de Giles,0,Sin datos,Sin datos
Centro Sur,Buenos Aires,San Pedro,36,Sin datos,20
Centro Sur,Buenos Aires,Alberdi,0,0,0
Centro Sur,Buenos Aires,Junín,0,0,0
Centro Sur,Buenos Aires,Necochea,0,0,0
Centro Sur,Buenos Aires,Pergamino,3,Sin datos,0
Centro Sur,Buenos Aires,Tandil,0,Sin datos,Sin datos
Centro Sur,Buenos Aires,Las Armas,0,Sin datos,0
Centro Sur,Buenos Aires,Catriló,0,2,1
Centro Sur,Buenos Aires,Chivilcoy,5,3,14
Centro Sur,Buenos Aires,Pergamino,43,37,37
Centro Sur,Buenos Aires,Conesa,9,3,27
Centro Sur,Buenos Aires,San antonio de Areco,18,9,13
Centro Sur,Buenos Aires,Bordenave,0,0,0
Centro Sur,Buenos Aires,Gral. Villegas,3,1,4
Centro Sur,Buenos Aires,Ascasubi,0,0,0
Centro Sur,Buenos Aires,Bolivar,0,0,0
Centro Sur,Buenos Aires,Pehuajó,0,0,0
Centro Sur,Buenos Aires,Balcarce,0,0,0
Centro Sur,La Pampa,Macachín,0,0,0
Centro Sur,La Pampa,Quemu Quemu,Sin datos,2,Trampa perdida
Centro Sur,La Pampa,General Pico,1,2,10
Centro Sur,La Pampa,Quemú Quemú,0,1,2
Centro Sur,La Pampa,Santa Rosa,0,0,0
Centro Sur,La Pampa,Anguil 1,0,6,5
