Región,Provincia,Localidad,Lectura_08_02_25_al_23_02_25,Lectura_24_02_25_al_13_03_25,Lectura_14_03_25_al_28_03_25
Centro Sur,Buenos Aires,Ascasubi,0,0,0
Centro Sur,Buenos Aires,Bolivar,0,0,0
Centro Sur,Buenos Aires,Pehuajó,0,0,0
Centro Sur,Buenos Aires,Balcarce,0,0,0
Centro Sur,La Pampa,Macachín,0,0,Sin datos
Centro Sur,La Pampa,Quemu Quemu,0,0,Sin datos
Centro Sur,La Pampa,General Pico,0,0,0
Centro Sur,La Pampa,Quemú Quemú,0,0,0
Centro Sur,La Pampa,Santa Rosa,0,0,0
Centro Sur,La Pampa,Anguil 1,0,0,0
Uruguay,Uruguay,Vergara,Sin datos,Sin datos,Sin datos
Uruguay,Uruguay,Rosario,6,Sin datos,6
Uruguay,Uruguay,Chamizo,Sin datos,Sin datos,1
Uruguay,Uruguay,Young,0,Sin datos,Sin datos
Uruguay,Uruguay,Mercedes,0,Sin datos,0
Uruguay,Uruguay,Durazno,Sin datos,Sin datos,Sin datos
Uruguay,Uruguay,Constancia,4,Sin datos,0
Uruguay,Uruguay,Young,2,Sin datos,Sin datos
Uruguay,Uruguay,Palmitas,0,Sin datos,1
Uruguay,Uruguay,Sanchez,0,Sin datos,Sin datos
