localidad,provincia,region,temporada,max_capturas,mean_capturas,n_lecturas,n_detecciones,target
centeno,Santa Fe,CENTRO NORTE,2025-2026,186.0,12.209302325581396,43,14,1
ceres,Santa Fe,CENTRO NORTE,2024-2025,2080.0,98.8108108108108,111,54,1
ceres,Santa Fe,CENTRO NORTE,2025-2026,2080.0,87.51041666666667,96,53,1
chacabuco,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,54,0,0
chacabuco,Buenos Aires,CENTRO SUR,2025-2026,0.0,0.0,40,0,0
chacra nelson,,URUGUAY,2025-2026,0.0,0.0,2,0,0
chacra nelson,Uruguay,URUGUAY,2025-2026,0.0,0.0,7,0,0
chaguaral,Salta,NOA,2024-2025,27.0,1.6470588235294117,51,6,1
chaguaral,Salta,NOA,2025-2026,0.0,0.0,5,0,0
chamizo,,URUGUAY,2024-2025,4.0,1.2,5,3,0
chamizo,Uruguay,URUGUAY,2024-2025,3.0,1.0,22,12,0
charata,Chaco,NEA,2025-2026,90.0,2.8125,32,1,1
chascomús,Buenos Aires,CENTRO SUR,2024-2025,7.0,0.6964285714285714,56,15,1
chascomús,Buenos Aires,CENTRO SUR,2025-2026,0.0,0.0,47,0,0
chañar ladeado,Santa Fe,CENTRO SUR,2024-2025,0.0,0.0,51,0,0
chañar ladeado,Santa Fe,CENTRO SUR,2025-2026,0.0,0.0,37,0,0
chilca,Tucumán,NOA,2024-2025,636.0,137.38983050847457,59,41,1
chilca,Tucumán,NOA,2025-2026,636.0,51.44827586206897,29,24,1
chilibroste,Córdoba,CENTRO SUR,2024-2025,110.0,8.594594594594595,37,3,1
chilibroste,Córdoba,CENTRO SUR,2025-2026,110.0,61.2,5,3,1
chillar,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,53,0,0
chillar,Buenos Aires,CENTRO SUR,2025-2026,0.0,0.0,38,0,0
chillibroste,Córdoba,CENTRO SUR,2024-2025,0.0,0.0,6,0,0
chivilcoy,Buenos Aires,CENTRO SUR,2024-2025,14.0,1.7142857142857142,49,18,1
chivilcoy,Buenos Aires,CENTRO SUR,2025-2026,14.0,0.8936170212765957,47,6,1
christophersen,Santa Fe,CENTRO SUR,2024-2025,0.0,0.0,17,0,0
clucellas,Santa Fe,CENTRO NORTE,2024-2025,0.0,0.0,3,0,0
clucellas,Santa Fe,CENTRO SUR,2024-2025,83.0,6.745098039215686,51,6,1
clucellas,Santa Fe,CENTRO SUR,2025-2026,83.0,8.03448275862069,29,11,1
col alpina,Santiago Del Estero,NEA,2024-2025,1.0,0.3333333333333333,6,2,0
col hersilia,Santa Fe,NEA,2024-2025,2.0,0.8,5,2,0
col. hersilia,Santa Fe,NEA,2024-2025,0.0,0.0,1,0,0
col. la camila,Santa Fe,NEA,2024-2025,2.0,2.0,1,1,0
col. mackinlay,Santiago Del Estero,NEA,2025-2026,219.0,71.66666666666667,12,12,1
colonia,,URUGUAY,2024-2025,0.0,0.0,2,0,0
colonia,,URUGUAY,2025-2026,2.0,0.18181818181818182,11,1,0
colonia,Uruguay,URUGUAY,2024-2025,6.0,1.2941176470588236,17,5,1
colonia,Uruguay,URUGUAY,2025-2026,3.0,0.3333333333333333,18,2,0
colonia alpina,Santiago Del Estero,NEA,2024-2025,1592.0,179.47058823529412,51,31,1
colonia alpina,Santiago Del Estero,NEA,2025-2026,1592.0,95.37837837837837,37,25,1
colonia celina,Entre Ríos,LITORAL,2024-2025,37.0,4.339622641509434,53,11,1
colonia celina,Entre Ríos,LITORAL,2025-2026,929.0,74.04,50,17,1
colonia esther,Santa Fe,NEA,2025-2026,574.0,41.4,35,9,1
colonia la maría,Santa Fe,NEA,2025-2026,799.0,309.6666666666667,3,3,1
colonia marina,Córdoba,CENTRO NORTE,2025-2026,122.0,5.56,25,6,1
colonia tirolesa,Córdoba,CENTRO NORTE,2024-2025,362.0,28.37037037037037,54,24,1
colonia tirolesa,Córdoba,CENTRO NORTE,2025-2026,362.0,25.64,50,21,1
colón,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,57,0,0
colón,Buenos Aires,CENTRO SUR,2025-2026,0.0,0.0,24,0,0
colón,Córdoba,CENTRO NORTE,2024-2025,0.0,0.0,1,0,0
comandante fontana,Formosa,NEA,2024-2025,891.0,79.04444444444445,45,26,1
comandante fontana,Formosa,NEA,2025-2026,1597.0,375.6666666666667,42,41,1
concepcion del bermejo,Chaco,NEA,2024-2025,30.0,3.3777777777777778,45,21,1
concepcion del bermejo,Chaco,NEA,2025-2026,210.0,30.457142857142856,35,32,1
concepción del bermejo,Chaco,NEA,2024-2025,47.0,18.0,9,6,1
concepción del bermejo,Chaco,NEA,2025-2026,108.0,48.333333333333336,3,3,1
concepción del uruguay,Entre Ríos,LITORAL,2024-2025,52.0,8.777777777777779,54,35,1
concepción del uruguay,Entre Ríos,LITORAL,2025-2026,437.0,78.97777777777777,45,19,1
conesa,Buenos Aires,CENTRO SUR,2024-2025,27.0,2.693877551020408,49,18,1
conesa,Buenos Aires,CENTRO SUR,2025-2026,27.0,1.3404255319148937,47,7,1
constancia,,URUGUAY,2024-2025,0.0,0.0,5,0,0
constancia,Uruguay,URUGUAY,2024-2025,4.0,0.5185185185185185,27,6,0
