Región,Provincia,Localidad,Lectura_15_11_25_al_29_11,Lectura_30_11_25_al_15_12_25,Lectura_16_12_25_al_31_12_25
Centro Sur,Córdoba,Lecueder,0,0,0
Centro Sur,Córdoba,Villa Valeria,0,0,0
Centro Sur,Córdoba,Jovita,0,0,0
Centro Sur,Córdoba,Adelia María,0,0,0
Centro Sur,Córdoba,Cuatro Vientos,0,0,0
Centro Sur,Córdoba,General Levalle,0,0,0
Centro Sur,Córdoba,La Carlota,0,0,0
Centro Sur,Córdoba,Melo,0,0,0
Centro Sur,Córdoba,Vicuña Mackenna,1,1,0
Centro Sur,Córdoba,Villa valeria,0,0,0
Centro Sur,Córdoba,Monte Buey,0,0,1
Centro Sur,Córdoba,Marcos Juarez 2,0,0,0
Centro Sur,Córdoba,Ballesteros,0,0,0
Centro Sur,Córdoba,Achiras,0,0,0
Centro Sur,La Pampa,Macachín,0,0,0
Centro Sur,La Pampa,General Pico,0,0,0
Centro Sur,La Pampa,Quemú Quemú,0,0,0
Centro Sur,La Pampa,Santa Rosa,0,0,0
Centro Sur,La Pampa,Anguil 1,0,0,0
Centro Sur,La Pampa,Winifreda,0,0,0
Centro Sur,La Pampa,Ing. Luiggi,0,0,0
Centro Sur,San Luís,La Angelina,Sin datos,0,0
Centro Sur,San Luís,Nueva Galia,0,Trampa perdida,Sin datos
Centro Sur,San Luís,Buena Esperanza,0,0,0
Centro Sur,San Luís,Juan Jorba,0,0,0
Centro Sur,San Luís,San Luis 1,0,0,0
Centro Sur,San Luís,Quines,0,0,0
Centro Sur,San Luís,Naschel,0,Sin datos,0
Centro Sur,Santa Fe,Álvarez,0,2,0
Centro Sur,Santa Fe,Hughes,0,0,0
Centro Sur,Santa Fe,Iriarte,0,0,0
Centro Sur,Santa Fe,Máximo Paz,0,0,Sin datos
Centro Sur,Santa Fe,San Jerónimo Sur,1,0,1
Centro Sur,Santa Fe,Teodelina,0,0,0
Centro Sur,Santa Fe,Timbúes,1,1,2
Centro Sur,Santa Fe,Venado tuerto,0,0,0
Centro Sur,Santa Fe,Villa Mugueta,0,0,0
Centro Sur,Santa Fe,Villada,0,0,0
Centro Sur,Santa Fe,Wheelright,0,0,0
Centro Sur,Santa Fe,J. B. Molina,0,0,0
Centro Sur,Santa Fe,Armstrong,0,0,0
Centro Sur,Santa Fe,Chañar Ladeado,Trampa perdida,0,0
Centro Sur,Santa Fe,Monte de Oca,0,0,0
Centro Sur,Santa Fe,Zavalla,0,0,0
Centro Sur,Santa Fe,Pueblo Uranga,0,0,0
Centro Sur,Santa Fe,Clucellas,0,0,Sin datos
Centro Sur,Santa Fe,Pujato,0,0,0
Centro Sur,Santa Fe,Cañada de Gómez,0,0,0
